E (GeV), px (GeV), py (GeV), pz (GeV)
5.0000000000e+02,-2.8794472669e+02,+2.0406916358e+02,-3.5417573762e+02
5.0000000000e+02,-1.6604447552e+02,-4.0958119547e+02,-2.3381471026e+02
5.0000000000e+02,-9.8161406734e+01,-4.3201305557e+02,-2.3178848184e+02
5.0000000000e+02,-4.2292989532e+02,+2.6151728395e+02,-5.2305411872e+01
5.0000000000e+02,+2.8609599442e+02,+2.0065560584e+02,-3.5760767902e+02
5.0000000000e+02,-4.1290204802e+02,-7.5026869207e+01,+2.7180822266e+02
5.0000000000e+02,-9.8201774546e+01,+1.7796234137e+02,-4.5681797119e+02
5.0000000000e+02,-1.3796175086e+02,-4.5141996242e+02,-1.6487393700e+02
5.0000000000e+02,+1.5586871545e+02,-1.8309244652e+02,+4.3838218696e+02
5.0000000000e+02,+1.8318288190e+02,-3.5823742429e+02,+2.9682793314e+02
5.0000000000e+02,+1.4573607480e+02,+5.9049580730e+01,-4.7462720717e+02
5.0000000000e+02,-2.3624527487e+01,+2.9068735314e+02,+4.0612754979e+02
5.0000000000e+02,+3.3662837102e+02,+3.6740693181e+02,-4.1113605453e+01
5.0000000000e+02,+2.1010331161e+02,-2.7119811267e+02,+3.6373757629e+02
5.0000000000e+02,-4.1806103166e+02,-4.5375250888e+01,-2.7048641867e+02
5.0000000000e+02,+2.5249590150e+02,-3.3755080769e+02,+2.6889052461e+02
5.0000000000e+02,-2.7077743526e+02,-2.7639570540e+02,-3.1667307569e+02
5.0000000000e+02,-3.8420852388e+02,+1.9644687412e+02,+2.5256539371e+02
5.0000000000e+02,-3.8072868267e+02,-3.0733973467e+01,-3.2264211650e+02
5.0000000000e+02,+4.1489163802e+02,-1.6459546883e+02,+2.2532221953e+02
5.0000000000e+02,+1.9483709875e+02,-2.3442957477e+02,-3.9633082355e+02
5.0000000000e+02,+1.6923537497e+02,+4.4115902587e+01,-4.6841223006e+02
5.0000000000e+02,-6.6940496980e+01,+2.8464746364e+02,+4.0557568169e+02
5.0000000000e+02,+2.0758531092e+02,+3.9945189762e+02,+2.1758529926e+02
5.0000000000e+02,-3.7025337413e+02,+2.0989286304e+00,-3.3601320765e+02
5.0000000000e+02,-2.5397327193e+02,-4.1628210721e+01,+4.2867413205e+02
